Heure;Durée (s);Application;Titre
17/04/2016 13:00:56;0;mintty;MINGW64:/c/Users/Guillaume/Source/Repos/Automation/FocusWatcher
17/04/2016 13:00:57;2;notepad++;*new 2 - Notepad++
17/04/2016 13:01:14;0;firefox;Automation/FocusWatcher at master · gliluaume/Automation - Mozilla Firefox
17/04/2016 13:01:14;0;firefox;Automation/FocusWatcher at master · gliluaume/Automation - Mozilla Firefox
Heure;Durée (s);Application;Titre
17/04/2016 13:01:14;0;firefox;Automation/FocusWatcher at master · gliluaume/Automation - Mozilla Firefox
